title,year,rating,categories
The Shawshank Redemption,1994,9.3,N/A
The Godfather,1972,9.2,N/A
The Dark Knight,2008,9.1,N/A
The Godfather Part II,1974,9.0,N/A
12 Angry Men,1957,9.0,N/A
The Lord of the Rings: The Return of the King,2003,9.0,N/A
Schindler's List,1993,9.0,N/A
Pulp Fiction,1994,8.8,N/A
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,N/A
"Il buono, il brutto, il cattivo",1966,8.8,N/A
Forrest Gump,1994,8.8,N/A
The Lord of the Rings: The Two Towers,2002,8.8,N/A
Fight Club,1999,8.8,N/A
Inception,2010,8.8,N/A
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,N/A
The Matrix,1999,8.7,N/A
GoodFellas,1990,8.7,N/A
Interstellar,2014,8.7,N/A
One Flew Over the Cuckoo's Nest,1975,8.7,N/A
Se7en,1995,8.6,N/A
It's a Wonderful Life,1946,8.6,N/A
The Silence of the Lambs,1991,8.6,N/A
Shichinin no samurai,1954,8.6,N/A
Saving Private Ryan,1998,8.6,N/A
The Green Mile,1999,8.6,N/A
